Question - Arabic,Answer - Arabic,Question - English,Answer - English,Category
"املأ الفراغ في الجملة التالية:
أثناء الحمل، يتكون الغشاء المحيط بالتجويف الأمنيوسي من ثلاث طبقات: الغشاء القاعدي، والطبقة ______، والطبقة الأمينوسية.
أ. المشيمة
ب. الأرومة الغاذية
ج. المشيمة
د. الأديم المتوسط",أ. المشيمة,"Fill in the blank in the following sentence:
In pregnancy, the membrane that surrounds the amniotic cavity consists of 3 layers: the decidua basalis, the ______, and the amnion. 
A. Chorion
B. Trophoblast
C. Placenta
D. Mesoderm",A. Chorion,OBGYN
"املأ الفراغ في الجملة التالية:
الحمرة هي عدوى جلدية تسببها _______، وهي تصيب عادةً _____ الوجه.
أ. المكورات العنقودية الذهبية، البشرة
ب. العقديات B و C، الأدمة الشبكية
ج. العقديات A و G، الأدمة الحليمية
د. العصيات سلبية الجرام، الأنسجة تحت الجلد","ج. العقديات A و G، الأدمة الحليمية
","Fill in the blank in the following sentence:
Erysipelas is a dermal infection caused by _______, and it commonly infects the _____ of the face.
A. Staphylococcus aureus, epidermis
B. Streptococci B and C, reticular dermis
C. Streptococci A and G, papillary dermis
D. Gram-negative bacilli, subcutaneous tissue","C. Streptococci A and G, papillary dermis
",Dermatology
"املأ الفراغات في الجملة التالية:
في حالة الانصباب الجنبي، يشير انخفاض أو غياب الرجفان اللمسي على الجانب المصاب إلى ____، والذي ينتج عن ____.
أ. تراكم السوائل؛ عزل الصوت
ب. احتباس الهواء؛ انهيار الحويصلات الهوائية
ج. التليف؛ انخفاض مرونة الرئة
د. نمو الورم؛ انسداد الشعب الهوائية",أ. تراكم السوائل؛ عزل الصوت,"Fill in the blanks in the following sentence:
In pleural effusion, decreased or absent tactile fremitus on the affected side suggests ____, which results from ____.
A. Fluid accumulation; sound insulation
B. Air entrapment; alveolar collapse
C. Fibrosis; reduced lung compliance
D. Tumor growth; bronchial obstruction","A. Fluid accumulation; sound insulation
",Pulmonology
"املأ الفراغات في الجملة التالية:
يتم نقل الحديد وتخزينه في الجسم بواسطة 3 فئات رئيسية من البروتينات: (1) الترانسفيرينات، (2) مستقبلات الترانسفيرين TFR1، و(3) _____. يمكن لكل جزيء ترانسفيرين أن يرتبط بأيونات الحديد ____.
أ. السيرولوبلازمين، 3
ب. الجلسولين، 3
ج. الفيريتين، 2
د. الفيبرينوجين، 2","ج. الفيريتين، 2","Fill in the blanks in the following sentence:
Iron is transported and stored in the body by 3 main protein classes: (1) transferrins, (2) TFR1 transferrin receptors, and (3) _____. Each transferrin molecule can bind to ____ iron ions.
A. Caeruloplasmin, 3
B. Gelsolin, 3
C. Ferritin, 2
D. Fibrinogen, 2","C. Ferritin, 2
",Hematology
"املأ الفراغ في الجملة التالية:
بالإضافة إلى تأثيره على إنتاج الحليب، يؤثر _____ على وظائف منطقة تحت المهاد والغدة النخامية ووظائف المبيض المتعلقة بالدورة الشهرية. يتم إنتاجه بواسطة خلايا _____.
أ. البروجسترون، الظهارة العضلية
ب. الإستروجين، اللوتين
ج. الأوكسيتوسين، الحبيبات
د. البرولاكتين، اللاكتوتروف","د. البرولاكتين، اللاكتوتروف","Fill in the blanks in the following sentence:
In addition to its effect on milk production, _____ affects the functions of the hypothalamus, pituitary gland, and the ovarian functions related to the menstrual cycle. It is produced by _____ cells.
A. Progesterone, myoepithelial
B. Estrogen, lutein
C. Oxytocin, granulosa
D. Prolactin, lactotroph","D. Prolactin, lactotroph",OBGYN
"املأ الفراغ في الجملة التالية:
يمكننا أن نعزو ______ عند الأطفال حديثي الولادة (24 ساعة أو أقل) إلى فقر الدم أو الحماض.
أ. بشرة شاحبة
ب. الجلد المصاب باليرقان
ج. الجلد الأحمر
د. ارتفاع درجة الحرارة",أ. بشرة شاحبة,"Fill in the blank in the following sentence:
We can attribute ____ in newborns (24 hours or less) to anemia or acidosis.
A. Pale skin
B. Jaundiced skin
C. Red skin
D. High temperature",A. Pale skin,Pediatrics
"املأ الفراغ في الجملة التالية:
في داء السكري من النوع الثاني، يحدث نقص إفراز الإنسولين بسبب _____, مما يؤدي إلى تكسر قدرة خلايا الجسم على مقاومة الإنسولين بشكل _____، مما يؤدي إلى ارتفاع مستوى السكر في الدم.
أ. نقص التغذية, تدريجي
ب. مقاومة الانسولين, تدريجي
ج. الإجهاد المزمن, كامل
د.  التمارين الشديدة, ثابت","ب. مقاومة الانسولين, تدريجي
","Fill in the blank in the following sentence:
In type 2 diabetes, insulin deficiency occurs due to _____, which leads to the body's cells' ability to resist insulin being broken down _____, leading to high blood sugar levels.
A. Undernutrition, gradually
B. Insulin resistance, gradually
C. Chronic stress, completely
D. Vigorous exercise, constantly","B. Insulin resistance, gradually",Endocrinology
"املأ الفراغ في العبارة التالية:
تتميز متلازمة النفق الرسغي بضعف الحركة الذي يؤثر في المقام الأول على _____.
أ. اختطاف الكتف
ب. ثني الساعد
ج. البنصر والخنصر
د. معارضة الإبهام",د. معارضة الإبهام,"Fill in the blank in the following statement:
Carpal Tunnel Syndrome is characterized by motor weakness primarily affecting _____.
A. Shoulder abduction
B. Forearm flexors
C. Ring and little fingers
D. Thumb opposition ","D. Thumb opposition
",Neurology
"املأ الفراغ:
يُطلق على نوع الانصباب الجنبي الذي يتميز بتراكم السوائل المحملة بالبكتيريا اسم ____.
أ. الانصباب الجنبي
ب. الانصباب الجنبي النزفية
ج. الانصباب الجنبي النزفية
د. الكيلوس",ج. الانصباب الجنبي النزفية,"Fill in the blank:
The pleural effusion type characterized by the accumulation of bacteria-laden fluid is called ____.
A. Transudate
B. Hemorrhagic
C. Empyema
D. Chylous","C. Empyema
",Pulmonology
"املأ الفراغات في الجملة التالية:
يعتمد التشخيص في التهاب عضلة القلب على عوامل مثل ____، مع وجود تشخيص سيئ غالبًا ما يرتبط بـ ____.
أ. مستويات EF؛ اعتلال عضلة القلب المتوسع
ب. عدم انتظام ضربات القلب البطيني؛ احتقان الرئة
ج. إنزيمات القلب؛ فشل الجانب الأيمن
د. تحمل التمارين الرياضية؛ نفخات انقباضية",أ. مستويات EF؛ اعتلال عضلة القلب المتوسع,"Fill in the blanks in the following sentence:
Prognosis in myocarditis depends on factors like ____, with a poor prognosis often linked to ____.
A. EF levels; dilated cardiomyopathy
B. Ventricular arrhythmias; pulmonary congestion
C. Cardiac enzymes; right-sided failure
D. Exercise tolerance; systolic murmurs","A. EF levels; dilated cardiomyopathy
",Cardiovascular System
"املأ الفراغ في الجملة التالية:
يتم تصنيع البروستاجلاندين من حمض ______ من خلال إنزيم ______.
أ. حمض البالمتيك، سيكلوأكسجيناز
ب. حمض اللينوليك، ليبوأكسجيناز
ج. حمض الأراكيدونيك، سيكلوأكسجيناز
د. حمض الستياريك، ليبوأكسجيناز","ج. حمض الأراكيدونيك، سيكلوأكسجيناز","Fill in the blank in the following sentence:
Prostaglandins are synthesized from ______ acid through the enzyme ______.
A. Palmitic, Cyclooxygenase
B. Linoleic, Lipoxygenase
C. Arachidonic, Cyclooxygenase
D. Stearic, Lipoxygenase","C. Arachidonic, Cyclooxygenase
",OBGYN
"املأ الفراغات في الجملة التالية:
تعتبر ____ من السمات التشخيصية لقصور القلب الانقباضي، والتي تحدث عندما ينخفض ​​كسر القذف إلى أقل من ____.
أ. تمدد البطين؛ 40%
ب. انخفاض حجم النبضة؛ 50%
ج. انخفاض معدل القذف؛ 40%
د. تسرع القلب؛ 60%",ج. انخفاض معدل القذف؛ 40%,"Fill in the blanks in the following sentence:
A diagnostic feature of systolic heart failure is ____, which occurs when the ejection fraction falls below ____.
A. Ventricular dilation; 40%
B. Decreased stroke volume; 50%
C. Decreased EF; 40%
D. Tachycardia; 60%",C. Decreased EF; 40%,Cardiovascular System
"املأ الفراغ في العبارة التالية:
متلازمة غيلان باريه (GBS) مرتبطة بارتفاع ____ في السائل الدماغي الشوكي دون زيادة في عدد خلايا الدم البيضاء.
أ. الدهون
ب. البروتينات
ج. الجلوكوز
د. اللاكتات",ب. البروتينات,"Fill in the blank in the following statement:
Guillain-Barré Syndrome (GBS) is associated with elevated ____ in the cerebrospinal fluid without an increase in white blood cell count.
A. Lipids
B. Proteins
C. Glucose
D. Lactate
",B. Proteins,Neurology
"املأ الفراغات في الجملة التالية:
الأداة التشخيصية الأكثر استخدامًا لتأكيد الإصابة بجلطة وريدية عميقة هي الموجات فوق الصوتية، بينما ____، على الرغم من دقتها، مخصصة للحالات المعقدة.
أ. تصوير الأوعية الدموية الرئوية بالتصوير المقطعي المحوسب
ب. تصوير الأوردة بالرنين المغناطيسي
ج. فحص التهوية/التروية
د. تصوير الأوردة بالتصوير المقطعي المحوسب",ب. تصوير الأوردة بالرنين المغناطيسي,"Fill in the blanks in the following sentence:
The most commonly used diagnostic tool for confirming DVT is ultrasound, while ____, though more accurate, is reserved for complex cases.
A. CT Pulmonary Angiography
B. MRI Venography
C. Ventilation/Perfusion Scan
D. CT Venography","B. MRI Venography
",Cardiovascular System
"املأ الفراغات في الجملة التالية:
تنتج متلازمة زولينجر إليسون عن أورام تفرز ____، مما يؤدي إلى إنتاج مفرط ____.
أ. الجاسترين؛ حمض الهيدروكلوريك
ب. الأنسولين؛ الجلوكوز
ج. ACTH؛ الكورتيزول
د. الجلوكاجون؛ الأحماض الصفراوية",أ. الجاسترين؛ حمض الهيدروكلوريك,"Fill in the blanks in the following sentence:
Zollinger-Ellison syndrome results from ____-secreting tumors, leading to excessive ____ production.
A. Gastrin; hydrochloric acid
B. Insulin; glucose
C. ACTH; cortisol
D. Glucagon; bile acids","A. Gastrin; hydrochloric acid
",Gastroenterology
