Question - Arabic,Answer - Arabic,Question - English,Answer - English,Category
"املأ الفراغ في الجملة التالية: أثناء الحمل، يتكون الغشاء المحيط بالتجويف الأمنيوسي من ثلاث طبقات: الغشاء القاعدي، والطبقة ______، والطبقة الأمينوسية.",المشيمة,"Fill in the blank in the following sentence:
In pregnancy, the membrane that surrounds the amniotic cavity consists of 3 layers: the decidua basalis, the ______, and the amnion.",Chorion,OBGYN
"املأ الفراغ في الجملة التالية: الحمرة هي عدوى جلدية تسببها _______، وهي تصيب عادةً _____ الوجه.","العقديات A و G، الأدمة الحليمية
","Fill in the blank in the following sentence: Erysipelas is a dermal infection caused by _______, and it commonly infects the _____ of the face.","Streptococci A and G, papillary dermis",Dermatology
"املأ الفراغات في الجملة التالية: في حالة الانصباب الجنبي، يشير انخفاض أو غياب الرجفان اللمسي على الجانب المصاب إلى ____، والذي ينتج عن ____.", تراكم السوائل؛ عزل الصوت,"Fill in the blanks in the following sentence: In pleural effusion, decreased or absent tactile fremitus on the affected side suggests ____, which results from ____.",Fluid accumulation; sound insulation,Pulmonology
"املأ الفراغات في الجملة التالية: يتم نقل الحديد وتخزينه في الجسم بواسطة 3 فئات رئيسية من البروتينات: (1) الترانسفيرينات، (2) مستقبلات الترانسفيرين TFR1، و(3) _____. يمكن لكل جزيء ترانسفيرين أن يرتبط بأيونات الحديد ____.","الفيريتين، 2","Fill in the blanks in the following sentence: Iron is transported and stored in the body by 3 main protein classes: (1) transferrins, (2) TFR1 transferrin receptors, and (3) _____. Each transferrin molecule can bind to ____ iron ions.","Ferritin, 2",Hematology
"املأ الفراغ في الجملة التالية: بالإضافة إلى تأثيره على إنتاج الحليب، يؤثر _____ على وظائف منطقة تحت المهاد والغدة النخامية ووظائف المبيض المتعلقة بالدورة الشهرية. يتم إنتاجه بواسطة خلايا _____.","البرولاكتين، اللاكتوتروف","Fill in the blanks in the following sentence: In addition to its effect on milk production, _____ affects the functions of the hypothalamus, pituitary gland, and the ovarian functions related to the menstrual cycle. It is produced by _____ cells.","Prolactin, lactotroph",OBGYN
"املأ الفراغ في الجملة التالية:
يمكننا أن نعزو ______ عند الأطفال حديثي الولادة (24 ساعة أو أقل) إلى فقر الدم أو الحماض.
",بشرة شاحبة,Fill in the blank in the following sentence: We can attribute ____ in newborns (24 hours or less) to anemia or acidosis.,Pale skin,Pediatrics
"املأ الفراغ في الجملة التالية:
في داء السكري من النوع الثاني، يحدث نقص إفراز الإنسولين بسبب _____, مما يؤدي إلى تكسر قدرة خلايا الجسم على مقاومة الإنسولين بشكل _____، مما يؤدي إلى ارتفاع مستوى السكر في الدم.
","مقاومة الانسولين, تدريجي","Fill in the blank in the following sentence: In type 2 diabetes, insulin deficiency occurs due to _____, which leads to the body's cells' ability to resist insulin being broken down _____, leading to high blood sugar levels.","Insulin resistance, gradually",Endocrinology
"املأ الفراغ في العبارة التالية:
تتميز متلازمة النفق الرسغي بضعف الحركة الذي يؤثر في المقام الأول على _____.
",معارضة الإبهام,Fill in the blank in the following statement: Carpal Tunnel Syndrome is characterized by motor weakness primarily affecting _____.,Thumb opposition,Neurology
"املأ الفراغ:
يُطلق على نوع الانصباب الجنبي الذي يتميز بتراكم السوائل المحملة بالبكتيريا اسم ____.
",الانصباب الجنبي النزفية,Fill in the blank: The pleural effusion type characterized by the accumulation of bacteria-laden fluid is called ____.,Empyema,Pulmonology
"املأ الفراغات في الجملة التالية:
يعتمد التشخيص في التهاب عضلة القلب على عوامل مثل ____، مع وجود تشخيص سيئ غالبًا ما يرتبط بـ ____.
",مستويات EF؛ اعتلال عضلة القلب المتوسع,"Fill in the blanks in the following sentence: Prognosis in myocarditis depends on factors like ____, with a poor prognosis often linked to ____.",EF levels; dilated cardiomyopathy,Cardiovascular System
