Question,Answer,Category
"كل ما هو آت صحيح عن محفظة بومان ما عدا:
أ. تتداخل الاستطالات القدمية مع بعضها لتشكيل شقوق الرشح
ب. تتصل المسافة المحفظية بجوفها مع لمعة الأنبوب للقريب
ج. تعطي الوريقة الحشوية استطالات ترافق تفرعات الاوعية
د. ترسل الخلايت تلقدمية استطالات سيتوبلاسمية باتجاه المسافة المحفظية",د. ترسل الخلايت تلقدمية استطالات سيتوبلاسمية باتجاه المسافة المحفظية,Histology
"كل ما يلي صحيح عن السفلس ماعدا:
أ. يتميز الطور الاول بسلبية الاختبارات المصلية
ب. يتميز الطور الاول بقرحة صلبة مؤلمة غلى الاعضاء التناسلية
ج. يتميز الطور الثاني باندفاعات على الجلد والاغشية المخاطية
د. %25 من الاجنة تموت بعد الوالدة من ام مصابة
ه. يعاني الطفل ألمصاب بالزهري الخلقي من اسنان هوتشنسن","ب. يتميز الطور الاول بقرحة صلبة مؤلمة غلى الاعضاء التناسلية
",Microbiology
"من العلاجات التلطيفية للحبن الخبيث:

أ. المعالجة الكيميائية للورم البطني
ب. المعالجة الشعاعية للبطن
ج. المدرات
د. البزل المتكرر
هـ. تحويلة بريتوانية وريدية",د. البزل المتكرر,Oncology
"أي مما يلي تستبعد إصابته في الجحوظ الورمي:
أ. العصب البصري
ب. العصب الثالث
ج. العصب السادس
د. العصب العاشر
ه. كل ما سبق لا يصاب",د. العصب العاشر,Ophthalmology
"كل ما يلي صحيح عن المساريقا ما عدا:
أ. طبقة وحيدة من البريتوان
ب. تؤمن مرور الاعصاب والاوعية للاحشاء
ج. يتشكل الرباط المنجلي من المساريقا البطنية
د. يتشكل الثرب الكبير من المساريقا الظهرية للمعدة
ه. مساريقا الصائم اللفائفي هي مساريقا ظهرانية","أ. طبقة وحيدة من البريتوان
",Embryology
"من مكونات الجريبات المبيضية وتفرز ال androstenadione: 
أ. الخلايا الجريبية 
ب. الخلايا الحبيبية
ج. خلايا القراب الداخلي
د. خلايا القراب الخارجي
ه. الخلية البيضية الأولية",ج. خلايا القراب الداخل,Histology
"الدانترولين يملك تأثير:
أ. مرخّي للعضلات الملساء
ب. مرخّي للعضلات الهيكلية
ج. مثبط للفوسفو داي إستراز
د. معاكسا لعمل الهيبارين
هـ. مشابه لتأثير البابا فيرين","ب. مرخّي للعضلات الهيكلية
",Pharmacology
"يتحرر الأستيل كولين من الأماكن التالية عدا:
أ. جميع العصبونات قبل العقدة في الجهاز العصبي المستقل
ب. جميع العصبونات بعد العقدة في القسم اللاودي
ج. العصبونات بعد العقدة في القسم الودي المعصب للغدد العرقية
د. العصبونات بعد العقدة في القسم الودي المعصب للغدد اللعابية",د. العصبونات بعد العقدة في القسم الودي المعصب للغدد اللعابية,Physiology
"ما يلي حول التهاب الكبد المزمن المرتقي الفعال صحيح ما عدا:
أ. قد توجد ضخامة كبدية وطحالية
ب. النمط المنيع للذات أكثر شيوعاً لدى الذكور
ج. من الأعراض: وهن عام وتعب، مع وجود آلام مفصلية
د. في الغالب يكون إنذار هذه الحالات سيئا","ب. النمط المنيع للذات أكثر شيوعاً لدى الذكور
",Biochemistry
"كل العوامل التالية تزيد امتصاص الحديد عدا:
أ. الإريثروبويتين
ب. انخفاض ph الوسط المعوي
ج. C الفيتامين
د. الكالسيتونين",د. الكالسيتونين,Physiology
